Nationality,Total
Afghan,11
Afghan Indian,1
Albanian,199
Albanian Greek,1
Algerian,2
American,2
American UK,1
Angolan,1
Angolan UK,1
Argentine Citizen of the Dominican Republic,1
Bangladeshi,8
Bangladeshi Burmese,1
Botswanan,3
Brazilian,7
Bulgarian,9
Cameroonian,2
Cape Verdean Filipino,1
Central African,3
Chadian,3
Chinese,42
Citizen of Guinea-Bissau,1
Citizen of the Dominican Republic,4
Citizen of the Dominican Republic Spanish,1
Congolese (Congo),1
Congolese (DRC),1
Czech,1
Dutch,1
East Timorese,14
Egyptian,13
Eritrean,231
Eritrean Ethiopian,4
Ethiopian,35
Ethiopian Eritrean,1
Ethiopian Nigerian,1
Filipino,11
Filipino Malaysian,1
Georgian,4
Ghanaian,5
Greek,1
Honduran,5
Hungarian,4
Hungarian Romanian,1
Indian,48
Indonesian,1
Iranian,38
Iraqi,21
Jamaican,2
Kazakh,3
Kenyan,2
Kosovan,2
Kuwaiti,3
Latvian,4
Lebanese,1
Libyan,3
Lithuanian,4
Lithuanian UK,1
Malaysian,5
Mauritanian,1
Mauritian,6
Moldovan Romanian,1
Namibian,7
Nepalese,1
Nepalese Unknown,1
Nigerian,7
Not Known,1
Pakistani,8
Pakistani UK,2
Palestinian,1
Polish,8
Polish UK,1
Portuguese Pakistani,1
Romanian,105
Russian,1
Saudi Arabian,1
Sierra Leonean,4
Slovak,5
Somali,7
South African UK,1
South Sudanese,2
Sri Lankan,3
St Lucian,1
St Lucian UK,1
Sudanese,126
Sudanese South Sudanese,2
Syrian,24
Taiwanese,2
Thai,8
Trinidadian,2
Turkish,3
Ugandan,6
UK,103
Ukrainian,8
Unknown,14
Uzbek,1
Vietnamese,48
Yemeni,4
Zimbabwean,1
Total,1307
