Year,Quarter,Age at exploitation,Location of exploitation,NRM referrals
2019,Q1,Adult (18 or over),UK and Overseas,161
2019,Q1,Adult (18 or over),Not specified or unknown,38
2019,Q1,Adult (18 or over),Total,1209
2019,Q1,Child (17 or under),Overseas,220
2019,Q1,Child (17 or under),UK,612
2019,Q1,Child (17 or under),UK and Overseas,34
2019,Q1,Child (17 or under),Not specified or unknown,78
2019,Q1,Child (17 or under),Total,944
2019,Q1,Age not specified or unknown,Overseas,0
2019,Q1,Age not specified or unknown,UK,0
2019,Q1,Age not specified or unknown,UK and Overseas,0
2019,Q1,Age not specified or unknown,Not specified or unknown,0
2019,Q1,Age not specified or unknown,Total,0
2019,Q2,Adult (18 or over),Overseas,408
2019,Q2,Adult (18 or over),UK,696
2019,Q2,Adult (18 or over),UK and Overseas,178
2019,Q2,Adult (18 or over),Not specified or unknown,44
2019,Q2,Adult (18 or over),Total,1326
2019,Q2,Child (17 or under),Overseas,196
2019,Q2,Child (17 or under),UK,678
2019,Q2,Child (17 or under),UK and Overseas,61
2019,Q2,Child (17 or under),Not specified or unknown,47
2019,Q2,Child (17 or under),Total,982
2019,Q2,Age not specified or unknown,Overseas,1
2019,Q2,Age not specified or unknown,UK,0
2019,Q2,Age not specified or unknown,UK and Overseas,0
2019,Q2,Age not specified or unknown,Not specified or unknown,0
2019,Q2,Age not specified or unknown,Total,1
2019,Q3,Adult (18 or over),Overseas,428
2019,Q3,Adult (18 or over),UK,961
2019,Q3,Adult (18 or over),UK and Overseas,196
2019,Q3,Adult (18 or over),Not specified or unknown,43
2019,Q3,Adult (18 or over),Total,1628
2019,Q3,Child (17 or under),Overseas,207
2019,Q3,Child (17 or under),UK,821
2019,Q3,Child (17 or under),UK and Overseas,69
2019,Q3,Child (17 or under),Not specified or unknown,77
2019,Q3,Child (17 or under),Total,1174
2019,Q3,Age not specified or unknown,Overseas,0
2019,Q3,Age not specified or unknown,UK,1
2019,Q3,Age not specified or unknown,UK and Overseas,0
2019,Q3,Age not specified or unknown,Not specified or unknown,0
2019,Q3,Age not specified or unknown,Total,1
2019,Q4,Adult (18 or over),Overseas,474
2019,Q4,Adult (18 or over),UK,958
2019,Q4,Adult (18 or over),UK and Overseas,247
2019,Q4,Adult (18 or over),Not specified or unknown,9
2019,Q4,Adult (18 or over),Total,1688
2019,Q4,Child (17 or under),Overseas,325
2019,Q4,Child (17 or under),UK,942
2019,Q4,Child (17 or under),UK and Overseas,151
2019,Q4,Child (17 or under),Not specified or unknown,31
2019,Q4,Child (17 or under),Total,1449
2019,Q4,Age not specified or unknown,Overseas,65
2019,Q4,Age not specified or unknown,UK,112
2019,Q4,Age not specified or unknown,UK and Overseas,26
2019,Q4,Age not specified or unknown,Not specified or unknown,3
2019,Q4,Age not specified or unknown,Total,206
2020,Q1,Adult (18 or over),Overseas,410
2020,Q1,Adult (18 or over),UK,817
2020,Q1,Adult (18 or over),UK and Overseas,257
2020,Q1,Adult (18 or over),Not specified or unknown,1
2020,Q1,Adult (18 or over),Total,1485
2020,Q1,Child (17 or under),Overseas,276
2020,Q1,Child (17 or under),UK,823
2020,Q1,Child (17 or under),UK and Overseas,132
2020,Q1,Child (17 or under),Not specified or unknown,6
2020,Q1,Child (17 or under),Total,1237
2020,Q1,Age not specified or unknown,Overseas,55
2020,Q1,Age not specified or unknown,UK,47
2020,Q1,Age not specified or unknown,UK and Overseas,33
2020,Q1,Age not specified or unknown,Not specified or unknown,0
2020,Q1,Age not specified or unknown,Total,135
2020,Q2,Adult (18 or over),Overseas,178
2020,Q2,Adult (18 or over),UK,515
2020,Q2,Adult (18 or over),UK and Overseas,147
2020,Q2,Adult (18 or over),Not specified or unknown,0
2020,Q2,Adult (18 or over),Total,840
2020,Q2,Child (17 or under),Overseas,128
2020,Q2,Child (17 or under),UK,1063
2020,Q2,Child (17 or under),UK and Overseas,81
2020,Q2,Child (17 or under),Not specified or unknown,5
2020,Q2,Child (17 or under),Total,1277
2020,Q2,Age not specified or unknown,Overseas,23
2020,Q2,Age not specified or unknown,UK,47
2020,Q2,Age not specified or unknown,UK and Overseas,11
2020,Q2,Age not specified or unknown,Not specified or unknown,0
2020,Q2,Age not specified or unknown,Total,81
2020,Q3,Adult (18 or over),Overseas,386
2020,Q3,Adult (18 or over),UK,633
2020,Q3,Adult (18 or over),UK and Overseas,198
2020,Q3,Adult (18 or over),Not specified or unknown,0
2020,Q3,Adult (18 or over),Total,1217
2020,Q3,Child (17 or under),Overseas,160
2020,Q3,Child (17 or under),UK,907
2020,Q3,Child (17 or under),UK and Overseas,94
2020,Q3,Child (17 or under),Not specified or unknown,1
2020,Q3,Child (17 or under),Total,1162
2020,Q3,Age not specified or unknown,Overseas,50
2020,Q3,Age not specified or unknown,UK,44
2020,Q3,Age not specified or unknown,UK and Overseas,18
2020,Q3,Age not specified or unknown,Not specified or unknown,0
2020,Q3,Age not specified or unknown,Total,112
2020,Q4,Adult (18 or over),Overseas,709
2020,Q4,Adult (18 or over),UK,622
2020,Q4,Adult (18 or over),UK and Overseas,200
2020,Q4,Adult (18 or over),Not specified or unknown,0
2020,Q4,Adult (18 or over),Total,1531
2020,Q4,Child (17 or under),Overseas,220
2020,Q4,Child (17 or under),UK,1032
2020,Q4,Child (17 or under),UK and Overseas,86
2020,Q4,Child (17 or under),Not specified or unknown,2
2020,Q4,Child (17 or under),Total,1340
2020,Q4,Age not specified or unknown,Overseas,87
2020,Q4,Age not specified or unknown,UK,53
2020,Q4,Age not specified or unknown,UK and Overseas,27
2020,Q4,Age not specified or unknown,Not specified or unknown,0
2020,Q4,Age not specified or unknown,Total,167
2021,Q1,Adult (18 or over),Overseas,416
2021,Q1,Adult (18 or over),UK,760
2021,Q1,Adult (18 or over),UK and Overseas,253
2021,Q1,Adult (18 or over),Not specified or unknown,0
2021,Q1,Adult (18 or over),Total,1429
2021,Q1,Child (17 or under),Overseas,214
2021,Q1,Child (17 or under),UK,1036
2021,Q1,Child (17 or under),UK and Overseas,108
2021,Q1,Child (17 or under),Not specified or unknown,0
2021,Q1,Child (17 or under),Total,1358
2021,Q1,Age not specified or unknown,Overseas,54
2021,Q1,Age not specified or unknown,UK,61
2021,Q1,Age not specified or unknown,UK and Overseas,34
2021,Q1,Age not specified or unknown,Not specified or unknown,0
2021,Q1,Age not specified or unknown,Total,149
2021,Q2,Adult (18 or over),Overseas,499
2021,Q2,Adult (18 or over),UK,817
2021,Q2,Adult (18 or over),UK and Overseas,242
2021,Q2,Adult (18 or over),Not specified or unknown,0
2021,Q2,Adult (18 or over),Total,1558
2021,Q2,Child (17 or under),Overseas,280
2021,Q2,Child (17 or under),UK,992
2021,Q2,Child (17 or under),UK and Overseas,99
2021,Q2,Child (17 or under),Not specified or unknown,0
2021,Q2,Child (17 or under),Total,1371
2021,Q2,Age not specified or unknown,Overseas,94
2021,Q2,Age not specified or unknown,UK,57
2021,Q2,Age not specified or unknown,UK and Overseas,41
2021,Q2,Age not specified or unknown,Not specified or unknown,0
2021,Q2,Age not specified or unknown,Total,192
2021,Q3,Adult (18 or over),Overseas,697
2021,Q3,Adult (18 or over),UK,723
2021,Q3,Adult (18 or over),UK and Overseas,255
2021,Q3,Adult (18 or over),Not specified or unknown,0
2021,Q3,Adult (18 or over),Total,1675
2021,Q3,Child (17 or under),Overseas,324
2021,Q3,Child (17 or under),UK,937
2021,Q3,Child (17 or under),UK and Overseas,100
2021,Q3,Child (17 or under),Not specified or unknown,0
2021,Q3,Child (17 or under),Total,1361
2021,Q3,Age not specified or unknown,Overseas,146
2021,Q3,Age not specified or unknown,UK,86
2021,Q3,Age not specified or unknown,UK and Overseas,49
2021,Q3,Age not specified or unknown,Not specified or unknown,0
2021,Q3,Age not specified or unknown,Total,281
2021,Q4,Adult (18 or over),Overseas,684
2021,Q4,Adult (18 or over),UK,831
2021,Q4,Adult (18 or over),UK and Overseas,225
2021,Q4,Adult (18 or over),Not specified or unknown,0
2021,Q4,Adult (18 or over),Total,1740
2021,Q4,Child (17 or under),Overseas,333
2021,Q4,Child (17 or under),UK,944
2021,Q4,Child (17 or under),UK and Overseas,86
2021,Q4,Child (17 or under),Not specified or unknown,0
2021,Q4,Child (17 or under),Total,1363
2021,Q4,Age not specified or unknown,Overseas,123
2021,Q4,Age not specified or unknown,UK,78
2021,Q4,Age not specified or unknown,UK and Overseas,26
2021,Q4,Age not specified or unknown,Not specified or unknown,0
2021,Q4,Age not specified or unknown,Total,227
2022,Q1,Adult (18 or over),Overseas,813
2022,Q1,Adult (18 or over),UK,957
2022,Q1,Adult (18 or over),UK and Overseas,282
2022,Q1,Adult (18 or over),Not specified or unknown,0
2022,Q1,Adult (18 or over),Total,2052
2022,Q1,Child (17 or under),Overseas,372
2022,Q1,Child (17 or under),UK,978
2022,Q1,Child (17 or under),UK and Overseas,118
2022,Q1,Child (17 or under),Not specified or unknown,0
2022,Q1,Child (17 or under),Total,1468
2022,Q1,Age not specified or unknown,Overseas,150
2022,Q1,Age not specified or unknown,UK,68
2022,Q1,Age not specified or unknown,UK and Overseas,35
2022,Q1,Age not specified or unknown,Not specified or unknown,0
2022,Q1,Age not specified or unknown,Total,253
2022,Q2,Adult (18 or over),Overseas,1207
2022,Q2,Adult (18 or over),UK,806
2022,Q2,Adult (18 or over),UK and Overseas,250
2022,Q2,Adult (18 or over),Not specified or unknown,0
2022,Q2,Adult (18 or over),Total,2263
2022,Q2,Child (17 or under),Overseas,429
2022,Q2,Child (17 or under),UK,1085
2022,Q2,Child (17 or under),UK and Overseas,113
2022,Q2,Child (17 or under),Not specified or unknown,0
2022,Q2,Child (17 or under),Total,1627
2022,Q2,Age not specified or unknown,Overseas,154
2022,Q2,Age not specified or unknown,UK,79
2022,Q2,Age not specified or unknown,UK and Overseas,39
2022,Q2,Age not specified or unknown,Not specified or unknown,0
2022,Q2,Age not specified or unknown,Total,272
2022,Q3,Adult (18 or over),Overseas,1153
2022,Q3,Adult (18 or over),UK,855
2022,Q3,Adult (18 or over),UK and Overseas,294
2022,Q3,Adult (18 or over),Not specified or unknown,0
2022,Q3,Adult (18 or over),Total,2302
2022,Q3,Child (17 or under),Overseas,692
2022,Q3,Child (17 or under),UK,1148
2022,Q3,Child (17 or under),UK and Overseas,139
2022,Q3,Child (17 or under),Not specified or unknown,0
2022,Q3,Child (17 or under),Total,1979
2022,Q3,Age not specified or unknown,Overseas,177
2022,Q3,Age not specified or unknown,UK,73
2022,Q3,Age not specified or unknown,UK and Overseas,50
2022,Q3,Age not specified or unknown,Not specified or unknown,0
2022,Q3,Age not specified or unknown,Total,300
2022,Q4,Adult (18 or over),Overseas,1011
2022,Q4,Adult (18 or over),UK,911
2022,Q4,Adult (18 or over),UK and Overseas,313
2022,Q4,Adult (18 or over),Not specified or unknown,0
2022,Q4,Adult (18 or over),Total,2235
2022,Q4,Child (17 or under),Overseas,601
2022,Q4,Child (17 or under),UK,1192
2022,Q4,Child (17 or under),UK and Overseas,149
2022,Q4,Child (17 or under),Not specified or unknown,0
2022,Q4,Child (17 or under),Total,1942
2022,Q4,Age not specified or unknown,Overseas,143
2022,Q4,Age not specified or unknown,UK,69
2022,Q4,Age not specified or unknown,UK and Overseas,27
2022,Q4,Age not specified or unknown,Not specified or unknown,0
2022,Q4,Age not specified or unknown,Total,239
2023,Q1,Adult (18 or over),Overseas,1037
2023,Q1,Adult (18 or over),UK,1112
2023,Q1,Adult (18 or over),UK and Overseas,440
2023,Q1,Adult (18 or over),Not specified or unknown,0
2023,Q1,Adult (18 or over),Total,2589
2023,Q1,Child (17 or under),Overseas,527
2023,Q1,Child (17 or under),UK,1216
2023,Q1,Child (17 or under),UK and Overseas,156
2023,Q1,Child (17 or under),Not specified or unknown,0
2023,Q1,Child (17 or under),Total,1899
2023,Q1,Age not specified or unknown,Overseas,131
2023,Q1,Age not specified or unknown,UK,95
2023,Q1,Age not specified or unknown,UK and Overseas,32
2023,Q1,Age not specified or unknown,Not specified or unknown,0
2023,Q1,Age not specified or unknown,Total,258
