Year,Quarter,Age at exploitation,Location of exploitation,NRM referrals
2011,Q1,Age not specified or unknown,UK and Overseas,0
2011,Q1,Age not specified or unknown,Not specified or unknown,0
2011,Q1,Age not specified or unknown,Total,0
2011,Q2,Adult (18 or over),Overseas,5
2011,Q2,Adult (18 or over),UK,82
2011,Q2,Adult (18 or over),UK and Overseas,4
2011,Q2,Adult (18 or over),Not specified or unknown,44
2011,Q2,Adult (18 or over),Total,135
2011,Q2,Child (17 or under),Overseas,2
2011,Q2,Child (17 or under),UK,34
2011,Q2,Child (17 or under),UK and Overseas,1
2011,Q2,Child (17 or under),Not specified or unknown,14
2011,Q2,Child (17 or under),Total,51
2011,Q2,Age not specified or unknown,Overseas,0
2011,Q2,Age not specified or unknown,UK,0
2011,Q2,Age not specified or unknown,UK and Overseas,0
2011,Q2,Age not specified or unknown,Not specified or unknown,0
2011,Q2,Age not specified or unknown,Total,0
2011,Q3,Adult (18 or over),Overseas,15
2011,Q3,Adult (18 or over),UK,94
2011,Q3,Adult (18 or over),UK and Overseas,9
2011,Q3,Adult (18 or over),Not specified or unknown,71
2011,Q3,Adult (18 or over),Total,189
2011,Q3,Child (17 or under),Overseas,2
2011,Q3,Child (17 or under),UK,53
2011,Q3,Child (17 or under),UK and Overseas,6
2011,Q3,Child (17 or under),Not specified or unknown,28
2011,Q3,Child (17 or under),Total,89
2011,Q3,Age not specified or unknown,Overseas,0
2011,Q3,Age not specified or unknown,UK,0
2011,Q3,Age not specified or unknown,UK and Overseas,0
2011,Q3,Age not specified or unknown,Not specified or unknown,0
2011,Q3,Age not specified or unknown,Total,0
2011,Q4,Adult (18 or over),Overseas,7
2011,Q4,Adult (18 or over),UK,54
2011,Q4,Adult (18 or over),UK and Overseas,11
2011,Q4,Adult (18 or over),Not specified or unknown,80
2011,Q4,Adult (18 or over),Total,152
2011,Q4,Child (17 or under),Overseas,4
2011,Q4,Child (17 or under),UK,38
2011,Q4,Child (17 or under),UK and Overseas,1
2011,Q4,Child (17 or under),Not specified or unknown,51
2011,Q4,Child (17 or under),Total,94
2011,Q4,Age not specified or unknown,Overseas,0
2011,Q4,Age not specified or unknown,UK,0
2011,Q4,Age not specified or unknown,UK and Overseas,0
2011,Q4,Age not specified or unknown,Not specified or unknown,0
2011,Q4,Age not specified or unknown,Total,0
2012,Q1,Adult (18 or over),Overseas,19
2012,Q1,Adult (18 or over),UK,60
2012,Q1,Adult (18 or over),UK and Overseas,8
2012,Q1,Adult (18 or over),Not specified or unknown,61
2012,Q1,Adult (18 or over),Total,148
2012,Q1,Child (17 or under),Overseas,9
2012,Q1,Child (17 or under),UK,31
2012,Q1,Child (17 or under),UK and Overseas,8
2012,Q1,Child (17 or under),Not specified or unknown,40
2012,Q1,Child (17 or under),Total,88
2012,Q1,Age not specified or unknown,Overseas,0
2012,Q1,Age not specified or unknown,UK,0
2012,Q1,Age not specified or unknown,UK and Overseas,0
2012,Q1,Age not specified or unknown,Not specified or unknown,0
2012,Q1,Age not specified or unknown,Total,0
2012,Q2,Adult (18 or over),Overseas,24
2012,Q2,Adult (18 or over),UK,88
2012,Q2,Adult (18 or over),UK and Overseas,7
2012,Q2,Adult (18 or over),Not specified or unknown,86
2012,Q2,Adult (18 or over),Total,205
2012,Q2,Child (17 or under),Overseas,12
2012,Q2,Child (17 or under),UK,32
2012,Q2,Child (17 or under),UK and Overseas,7
2012,Q2,Child (17 or under),Not specified or unknown,36
2012,Q2,Child (17 or under),Total,87
2012,Q2,Age not specified or unknown,Overseas,0
2012,Q2,Age not specified or unknown,UK,0
2012,Q2,Age not specified or unknown,UK and Overseas,0
2012,Q2,Age not specified or unknown,Not specified or unknown,0
2012,Q2,Age not specified or unknown,Total,0
2012,Q3,Adult (18 or over),Overseas,35
2012,Q3,Adult (18 or over),UK,100
2012,Q3,Adult (18 or over),UK and Overseas,13
2012,Q3,Adult (18 or over),Not specified or unknown,66
2012,Q3,Adult (18 or over),Total,214
2012,Q3,Child (17 or under),Overseas,4
2012,Q3,Child (17 or under),UK,35
2012,Q3,Child (17 or under),UK and Overseas,4
2012,Q3,Child (17 or under),Not specified or unknown,61
2012,Q3,Child (17 or under),Total,104
2012,Q3,Age not specified or unknown,Overseas,0
2012,Q3,Age not specified or unknown,UK,0
2012,Q3,Age not specified or unknown,UK and Overseas,0
2012,Q3,Age not specified or unknown,Not specified or unknown,0
2012,Q3,Age not specified or unknown,Total,0
2012,Q4,Adult (18 or over),Overseas,29
2012,Q4,Adult (18 or over),UK,114
2012,Q4,Adult (18 or over),UK and Overseas,35
2012,Q4,Adult (18 or over),Not specified or unknown,66
2012,Q4,Adult (18 or over),Total,244
2012,Q4,Child (17 or under),Overseas,14
2012,Q4,Child (17 or under),UK,29
2012,Q4,Child (17 or under),UK and Overseas,2
2012,Q4,Child (17 or under),Not specified or unknown,43
2012,Q4,Child (17 or under),Total,88
2012,Q4,Age not specified or unknown,Overseas,0
2012,Q4,Age not specified or unknown,UK,0
2012,Q4,Age not specified or unknown,UK and Overseas,0
2012,Q4,Age not specified or unknown,Not specified or unknown,0
2012,Q4,Age not specified or unknown,Total,0
2013,Q1,Adult (18 or over),Overseas,50
2013,Q1,Adult (18 or over),UK,123
2013,Q1,Adult (18 or over),UK and Overseas,12
2013,Q1,Adult (18 or over),Not specified or unknown,115
2013,Q1,Adult (18 or over),Total,300
2013,Q1,Child (17 or under),Overseas,9
2013,Q1,Child (17 or under),UK,38
2013,Q1,Child (17 or under),UK and Overseas,2
2013,Q1,Child (17 or under),Not specified or unknown,57
2013,Q1,Child (17 or under),Total,106
2013,Q1,Age not specified or unknown,Overseas,0
2013,Q1,Age not specified or unknown,UK,0
2013,Q1,Age not specified or unknown,UK and Overseas,0
2013,Q1,Age not specified or unknown,Not specified or unknown,0
2013,Q1,Age not specified or unknown,Total,0
2013,Q2,Adult (18 or over),Overseas,37
2013,Q2,Adult (18 or over),UK,122
2013,Q2,Adult (18 or over),UK and Overseas,7
2013,Q2,Adult (18 or over),Not specified or unknown,107
2013,Q2,Adult (18 or over),Total,273
2013,Q2,Child (17 or under),Overseas,19
2013,Q2,Child (17 or under),UK,32
2013,Q2,Child (17 or under),UK and Overseas,3
2013,Q2,Child (17 or under),Not specified or unknown,56
2013,Q2,Child (17 or under),Total,110
2013,Q2,Age not specified or unknown,Overseas,0
2013,Q2,Age not specified or unknown,UK,0
2013,Q2,Age not specified or unknown,UK and Overseas,0
2013,Q2,Age not specified or unknown,Not specified or unknown,0
2013,Q2,Age not specified or unknown,Total,0
2013,Q3,Adult (18 or over),Overseas,42
2013,Q3,Adult (18 or over),UK,130
2013,Q3,Adult (18 or over),UK and Overseas,26
2013,Q3,Adult (18 or over),Not specified or unknown,93
2013,Q3,Adult (18 or over),Total,291
2013,Q3,Child (17 or under),Overseas,10
2013,Q3,Child (17 or under),UK,54
2013,Q3,Child (17 or under),UK and Overseas,5
2013,Q3,Child (17 or under),Not specified or unknown,36
2013,Q3,Child (17 or under),Total,105
2013,Q3,Age not specified or unknown,Overseas,0
2013,Q3,Age not specified or unknown,UK,0
2013,Q3,Age not specified or unknown,UK and Overseas,0
2013,Q3,Age not specified or unknown,Not specified or unknown,0
2013,Q3,Age not specified or unknown,Total,0
2013,Q4,Adult (18 or over),Overseas,59
2013,Q4,Adult (18 or over),UK,236
2013,Q4,Adult (18 or over),UK and Overseas,11
2013,Q4,Adult (18 or over),Not specified or unknown,126
2013,Q4,Adult (18 or over),Total,432
2013,Q4,Child (17 or under),Overseas,17
2013,Q4,Child (17 or under),UK,43
2013,Q4,Child (17 or under),UK and Overseas,3
2013,Q4,Child (17 or under),Not specified or unknown,63
2013,Q4,Child (17 or under),Total,126
2013,Q4,Age not specified or unknown,Overseas,0
2013,Q4,Age not specified or unknown,UK,0
2013,Q4,Age not specified or unknown,UK and Overseas,0
2013,Q4,Age not specified or unknown,Not specified or unknown,0
2013,Q4,Age not specified or unknown,Total,0
2014,Q1,Adult (18 or over),Overseas,76
2014,Q1,Adult (18 or over),UK,155
2014,Q1,Adult (18 or over),UK and Overseas,17
2014,Q1,Adult (18 or over),Not specified or unknown,146
2014,Q1,Adult (18 or over),Total,394
2014,Q1,Child (17 or under),Overseas,24
2014,Q1,Child (17 or under),UK,80
2014,Q1,Child (17 or under),UK and Overseas,5
2014,Q1,Child (17 or under),Not specified or unknown,64
2014,Q1,Child (17 or under),Total,173
2014,Q1,Age not specified or unknown,Overseas,0
2014,Q1,Age not specified or unknown,UK,0
2014,Q1,Age not specified or unknown,UK and Overseas,0
2014,Q1,Age not specified or unknown,Not specified or unknown,0
2014,Q1,Age not specified or unknown,Total,0
2014,Q2,Adult (18 or over),Overseas,45
2014,Q2,Adult (18 or over),UK,165
2014,Q2,Adult (18 or over),UK and Overseas,21
2014,Q2,Adult (18 or over),Not specified or unknown,124
2014,Q2,Adult (18 or over),Total,355
2014,Q2,Child (17 or under),Overseas,28
2014,Q2,Child (17 or under),UK,46
2014,Q2,Child (17 or under),UK and Overseas,11
2014,Q2,Child (17 or under),Not specified or unknown,66
2014,Q2,Child (17 or under),Total,151
2014,Q2,Age not specified or unknown,Overseas,0
2014,Q2,Age not specified or unknown,UK,0
2014,Q2,Age not specified or unknown,UK and Overseas,0
2014,Q2,Age not specified or unknown,Not specified or unknown,0
2014,Q2,Age not specified or unknown,Total,0
2014,Q3,Adult (18 or over),Overseas,83
2014,Q3,Adult (18 or over),UK,202
2014,Q3,Adult (18 or over),UK and Overseas,43
2014,Q3,Adult (18 or over),Not specified or unknown,132
2014,Q3,Adult (18 or over),Total,460
2014,Q3,Child (17 or under),Overseas,35
2014,Q3,Child (17 or under),UK,61
2014,Q3,Child (17 or under),UK and Overseas,8
2014,Q3,Child (17 or under),Not specified or unknown,64
2014,Q3,Child (17 or under),Total,168
2014,Q3,Age not specified or unknown,Overseas,0
2014,Q3,Age not specified or unknown,UK,0
2014,Q3,Age not specified or unknown,UK and Overseas,0
2014,Q3,Age not specified or unknown,Not specified or unknown,0
2014,Q3,Age not specified or unknown,Total,0
2014,Q4,Adult (18 or over),Overseas,135
2014,Q4,Adult (18 or over),UK,232
2014,Q4,Adult (18 or over),UK and Overseas,42
2014,Q4,Adult (18 or over),Not specified or unknown,47
2014,Q4,Adult (18 or over),Total,456
2014,Q4,Child (17 or under),Overseas,33
2014,Q4,Child (17 or under),UK,88
2014,Q4,Child (17 or under),UK and Overseas,11
2014,Q4,Child (17 or under),Not specified or unknown,48
2014,Q4,Child (17 or under),Total,180
2014,Q4,Age not specified or unknown,Overseas,0
2014,Q4,Age not specified or unknown,UK,0
2014,Q4,Age not specified or unknown,UK and Overseas,0
2014,Q4,Age not specified or unknown,Not specified or unknown,0
2014,Q4,Age not specified or unknown,Total,0
2015,Q1,Adult (18 or over),Overseas,107
2015,Q1,Adult (18 or over),UK,234
2015,Q1,Adult (18 or over),UK and Overseas,37
2015,Q1,Adult (18 or over),Not specified or unknown,151
2015,Q1,Adult (18 or over),Total,529
2015,Q1,Child (17 or under),Overseas,36
2015,Q1,Child (17 or under),UK,72
2015,Q1,Child (17 or under),UK and Overseas,11
2015,Q1,Child (17 or under),Not specified or unknown,79
2015,Q1,Child (17 or under),Total,198
2015,Q1,Age not specified or unknown,Overseas,0
2015,Q1,Age not specified or unknown,UK,0
2015,Q1,Age not specified or unknown,UK and Overseas,0
2015,Q1,Age not specified or unknown,Not specified or unknown,0
2015,Q1,Age not specified or unknown,Total,0
2015,Q2,Adult (18 or over),Overseas,142
2015,Q2,Adult (18 or over),UK,231
2015,Q2,Adult (18 or over),UK and Overseas,36
2015,Q2,Adult (18 or over),Not specified or unknown,133
2015,Q2,Adult (18 or over),Total,542
2015,Q2,Child (17 or under),Overseas,49
