Date,Year,Quarter,Aspen Cards in use
2017-01-01,2017,1,NA
2017-04-01,2017,2,23796
2017-07-01,2017,3,23675
2017-10-01,2017,4,24075
2018-01-01,2018,1,25329
2018-04-01,2018,2,26080
2018-07-01,2018,3,27260
2018-10-01,2018,4,28447
2019-01-01,2019,1,29666
2019-04-01,2019,2,29476
2019-07-01,2019,3,30131
2019-10-01,2019,4,29760
2020-01-01,2020,1,30418
2020-04-01,2020,2,30171
2020-07-01,2020,3,31175
2020-10-01,2020,4,32818
2021-01-01,2021,1,41274
