Nationality,Total
Afghan,12
Albanian,364
Albanian Italian,1
Albanian Syrian,1
Algerian,4
American,1
Bangladeshi,7
Bangladeshi UK,1
Bolivian,4
Botswanan,1
Brazilian,7
Brazilian Italian,1
Brazilian Portuguese,1
British Virgin Islander Somali,1
Bulgarian,13
Bulgarian Canadian,1
Cameroonian,3
Central African,1
Chadian,2
Chinese,59
Chinese Japanese,1
Chinese UK,1
Colombian,1
Congolese (Drc),1
Czech,3
Dutch,2
East Timorese,1
East Timorese Portuguese,1
Egyptian,10
Egyptian Syrian,1
Emirati,1
Eritrean,169
Ethiopian,18
Ethiopian Eritrean,1
Filipino,8
Filipino Qatari,1
French,1
Ghanaian,5
Greek,1
Guinean,1
Hong Konger,1
Hungarian,2
Indian,17
Indian UK,2
Indonesian,1
Iranian,21
Iraqi,15
Irish,1
Kenyan,5
Kuwaiti,2
Kuwaiti Unknown,1
Latvian,2
Libyan,2
Malaysian,1
Malian,1
Mexican,1
Moroccan,2
Namibian,2
Nepalese,122
Nigerian,12
North Korean,1
Pakistani,9
Pakistani UK,1
Palestinian,1
Palestinian Unknown,1
Polish,13
Portuguese,2
Portuguese UKrainian,1
Romanian,90
Romanian Unknown,1
Salvadorean,1
Senegalese,1
Sierra Leonean,1
Sierra Leonean UK,1
Slovak,1
Somali,9
South African,1
South Sudanese,4
Spanish,2
Sri Lankan,2
Sudanese,141
Sudanese South Sudanese,1
Syrian,15
Tanzanian,1
Thai,13
Trinidadian,1
Tunisian,1
Turkish,2
Ugandan,2
UK,109
UK Zimbabwean,1
Ukrainian,3
Unknown,19
Vietnamese,37
Yemeni,2
Zimbabwean,3
Total,1420
