Date,Year,Quarter,Method of entry,Nationality,Region,Sex,Age Group,Number of detections
2018-03-31,2018,1,Inadequately documented air arrivals,Afghanistan,Asia Central,Female,17 and under,14
2018-03-31,2018,1,Inadequately documented air arrivals,Afghanistan,Asia Central,Female,18 to 24,4
2018-03-31,2018,1,Inadequately documented air arrivals,Afghanistan,Asia Central,Female,25 to 39,14
2018-03-31,2018,1,Inadequately documented air arrivals,Afghanistan,Asia Central,Female,40 and over,22
2018-03-31,2018,1,Inadequately documented air arrivals,Afghanistan,Asia Central,Male,17 and under,21
2018-03-31,2018,1,Inadequately documented air arrivals,Afghanistan,Asia Central,Male,18 to 24,8
2018-03-31,2018,1,Inadequately documented air arrivals,Afghanistan,Asia Central,Male,25 to 39,20
2018-03-31,2018,1,Inadequately documented air arrivals,Afghanistan,Asia Central,Male,40 and over,18
2018-03-31,2018,1,Inadequately documented air arrivals,Albania,Europe Other,Female,17 and under,3
2018-03-31,2018,1,Inadequately documented air arrivals,Albania,Europe Other,Female,18 to 24,12
2018-03-31,2018,1,Inadequately documented air arrivals,Albania,Europe Other,Female,25 to 39,5
2018-03-31,2018,1,Inadequately documented air arrivals,Albania,Europe Other,Male,17 and under,5
2018-03-31,2018,1,Inadequately documented air arrivals,Albania,Europe Other,Male,18 to 24,25
2018-03-31,2018,1,Inadequately documented air arrivals,Albania,Europe Other,Male,25 to 39,37
2018-03-31,2018,1,Inadequately documented air arrivals,Albania,Europe Other,Male,40 and over,7
2018-03-31,2018,1,Inadequately documented air arrivals,Albania,Europe Other,Unknown,Unknown,1
2018-03-31,2018,1,Inadequately documented air arrivals,Algeria,Africa North,Male,25 to 39,4
2018-03-31,2018,1,Inadequately documented air arrivals,Angola,Africa Sub-Saharan,Female,17 and under,1
2018-03-31,2018,1,Inadequately documented air arrivals,Brazil,America Central and South,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,British overseas citizens,Other,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Burundi,Africa Sub-Saharan,Male,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Burundi,Africa Sub-Saharan,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Cameroon,Africa Sub-Saharan,Female,25 to 39,2
2018-03-31,2018,1,Inadequately documented air arrivals,Cameroon,Africa Sub-Saharan,Male,25 to 39,2
2018-03-31,2018,1,Inadequately documented air arrivals,Canada,America North,Male,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Chad,Africa Sub-Saharan,Male,25 to 39,2
2018-03-31,2018,1,Inadequately documented air arrivals,Chile,America Central and South,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,China,Asia East,Female,17 and under,1
2018-03-31,2018,1,Inadequately documented air arrivals,China,Asia East,Female,18 to 24,11
2018-03-31,2018,1,Inadequately documented air arrivals,China,Asia East,Female,25 to 39,12
2018-03-31,2018,1,Inadequately documented air arrivals,China,Asia East,Female,40 and over,6
2018-03-31,2018,1,Inadequately documented air arrivals,China,Asia East,Male,17 and under,2
2018-03-31,2018,1,Inadequately documented air arrivals,China,Asia East,Male,18 to 24,21
2018-03-31,2018,1,Inadequately documented air arrivals,China,Asia East,Male,25 to 39,28
2018-03-31,2018,1,Inadequately documented air arrivals,China,Asia East,Male,40 and over,11
2018-03-31,2018,1,Inadequately documented air arrivals,Colombia,America Central and South,Male,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Congo,Africa Sub-Saharan,Male,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Congo (Democratic Republic),Africa Sub-Saharan,Female,17 and under,3
2018-03-31,2018,1,Inadequately documented air arrivals,Congo (Democratic Republic),Africa Sub-Saharan,Female,25 to 39,4
2018-03-31,2018,1,Inadequately documented air arrivals,Congo (Democratic Republic),Africa Sub-Saharan,Male,17 and under,3
2018-03-31,2018,1,Inadequately documented air arrivals,Congo (Democratic Republic),Africa Sub-Saharan,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Dominican Republic,America Central and South,Male,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,Egypt,Africa North,Male,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,Eritrea,Africa Sub-Saharan,Female,18 to 24,2
2018-03-31,2018,1,Inadequately documented air arrivals,Eritrea,Africa Sub-Saharan,Female,25 to 39,6
2018-03-31,2018,1,Inadequately documented air arrivals,Eritrea,Africa Sub-Saharan,Female,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,Eritrea,Africa Sub-Saharan,Male,18 to 24,3
2018-03-31,2018,1,Inadequately documented air arrivals,Eritrea,Africa Sub-Saharan,Male,25 to 39,6
2018-03-31,2018,1,Inadequately documented air arrivals,Eritrea,Africa Sub-Saharan,Male,40 and over,2
2018-03-31,2018,1,Inadequately documented air arrivals,Ethiopia,Africa Sub-Saharan,Male,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Ethiopia,Africa Sub-Saharan,Male,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,"Gambia, The",Africa Sub-Saharan,Male,17 and under,2
2018-03-31,2018,1,Inadequately documented air arrivals,"Gambia, The",Africa Sub-Saharan,Male,18 to 24,3
2018-03-31,2018,1,Inadequately documented air arrivals,"Gambia, The",Africa Sub-Saharan,Male,25 to 39,3
2018-03-31,2018,1,Inadequately documented air arrivals,Georgia,Europe Other,Female,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Georgia,Europe Other,Female,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Georgia,Europe Other,Female,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,Georgia,Europe Other,Male,17 and under,1
2018-03-31,2018,1,Inadequately documented air arrivals,Georgia,Europe Other,Male,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Georgia,Europe Other,Male,25 to 39,2
2018-03-31,2018,1,Inadequately documented air arrivals,Georgia,Europe Other,Male,40 and over,4
2018-03-31,2018,1,Inadequately documented air arrivals,Ghana,Africa Sub-Saharan,Female,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Ghana,Africa Sub-Saharan,Male,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Ghana,Africa Sub-Saharan,Male,25 to 39,3
2018-03-31,2018,1,Inadequately documented air arrivals,Ghana,Africa Sub-Saharan,Male,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,Greece,EU 14,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Guinea-Bissau,Africa Sub-Saharan,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,India,Asia South,Female,17 and under,1
2018-03-31,2018,1,Inadequately documented air arrivals,India,Asia South,Female,25 to 39,2
2018-03-31,2018,1,Inadequately documented air arrivals,India,Asia South,Male,17 and under,1
2018-03-31,2018,1,Inadequately documented air arrivals,India,Asia South,Male,18 to 24,4
2018-03-31,2018,1,Inadequately documented air arrivals,India,Asia South,Male,25 to 39,7
2018-03-31,2018,1,Inadequately documented air arrivals,India,Asia South,Male,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,India,Asia South,Unknown,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Iran,Middle East,Female,17 and under,15
2018-03-31,2018,1,Inadequately documented air arrivals,Iran,Middle East,Female,18 to 24,9
2018-03-31,2018,1,Inadequately documented air arrivals,Iran,Middle East,Female,25 to 39,71
2018-03-31,2018,1,Inadequately documented air arrivals,Iran,Middle East,Female,40 and over,22
2018-03-31,2018,1,Inadequately documented air arrivals,Iran,Middle East,Male,17 and under,20
2018-03-31,2018,1,Inadequately documented air arrivals,Iran,Middle East,Male,18 to 24,22
2018-03-31,2018,1,Inadequately documented air arrivals,Iran,Middle East,Male,25 to 39,85
2018-03-31,2018,1,Inadequately documented air arrivals,Iran,Middle East,Male,40 and over,31
2018-03-31,2018,1,Inadequately documented air arrivals,Iran,Middle East,Unknown,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Iraq,Middle East,Female,17 and under,4
2018-03-31,2018,1,Inadequately documented air arrivals,Iraq,Middle East,Female,18 to 24,2
2018-03-31,2018,1,Inadequately documented air arrivals,Iraq,Middle East,Female,25 to 39,11
2018-03-31,2018,1,Inadequately documented air arrivals,Iraq,Middle East,Male,17 and under,4
2018-03-31,2018,1,Inadequately documented air arrivals,Iraq,Middle East,Male,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Iraq,Middle East,Male,25 to 39,9
2018-03-31,2018,1,Inadequately documented air arrivals,Iraq,Middle East,Male,40 and over,4
2018-03-31,2018,1,Inadequately documented air arrivals,Italy,EU 14,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Kuwait,Middle East,Female,25 to 39,2
2018-03-31,2018,1,Inadequately documented air arrivals,Kuwait,Middle East,Female,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,Kuwait,Middle East,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Kuwait,Middle East,Male,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,Latvia,EU 8,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Lebanon,Middle East,Male,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Lebanon,Middle East,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Moldova,Europe Other,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Nepal,Asia South,Female,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Netherlands,EU 14,Female,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Netherlands,EU 14,Male,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Nigeria,Africa Sub-Saharan,Female,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Nigeria,Africa Sub-Saharan,Female,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Nigeria,Africa Sub-Saharan,Female,40 and over,2
2018-03-31,2018,1,Inadequately documented air arrivals,Nigeria,Africa Sub-Saharan,Male,17 and under,1
2018-03-31,2018,1,Inadequately documented air arrivals,Nigeria,Africa Sub-Saharan,Male,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Nigeria,Africa Sub-Saharan,Male,25 to 39,3
2018-03-31,2018,1,Inadequately documented air arrivals,Nigeria,Africa Sub-Saharan,Male,40 and over,6
2018-03-31,2018,1,Inadequately documented air arrivals,North Macedonia,Europe Other,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Occupied Palestinian Territories,Middle East,Female,17 and under,1
2018-03-31,2018,1,Inadequately documented air arrivals,Occupied Palestinian Territories,Middle East,Male,17 and under,3
2018-03-31,2018,1,Inadequately documented air arrivals,Occupied Palestinian Territories,Middle East,Male,18 to 24,16
2018-03-31,2018,1,Inadequately documented air arrivals,Occupied Palestinian Territories,Middle East,Male,25 to 39,10
2018-03-31,2018,1,Inadequately documented air arrivals,Other and unknown,Other,Female,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Other and unknown,Other,Male,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,Pakistan,Asia South,Female,40 and over,2
2018-03-31,2018,1,Inadequately documented air arrivals,Pakistan,Asia South,Male,25 to 39,2
2018-03-31,2018,1,Inadequately documented air arrivals,Pakistan,Asia South,Male,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,Poland,EU 8,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Russia,Europe Other,Female,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Russia,Europe Other,Female,40 and over,2
2018-03-31,2018,1,Inadequately documented air arrivals,Russia,Europe Other,Male,17 and under,2
2018-03-31,2018,1,Inadequately documented air arrivals,Russia,Europe Other,Male,25 to 39,3
2018-03-31,2018,1,Inadequately documented air arrivals,Russia,Europe Other,Male,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,Sierra Leone,Africa Sub-Saharan,Male,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Slovenia,EU 8,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Somalia,Africa Sub-Saharan,Female,17 and under,1
2018-03-31,2018,1,Inadequately documented air arrivals,Somalia,Africa Sub-Saharan,Female,18 to 24,4
2018-03-31,2018,1,Inadequately documented air arrivals,Somalia,Africa Sub-Saharan,Female,25 to 39,3
2018-03-31,2018,1,Inadequately documented air arrivals,Somalia,Africa Sub-Saharan,Female,40 and over,2
2018-03-31,2018,1,Inadequately documented air arrivals,Somalia,Africa Sub-Saharan,Male,17 and under,2
2018-03-31,2018,1,Inadequately documented air arrivals,Somalia,Africa Sub-Saharan,Male,18 to 24,3
2018-03-31,2018,1,Inadequately documented air arrivals,Somalia,Africa Sub-Saharan,Male,25 to 39,10
2018-03-31,2018,1,Inadequately documented air arrivals,Somalia,Africa Sub-Saharan,Male,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,South Africa,Africa Sub-Saharan,Male,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,South Korea,Asia East,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Sri Lanka,Asia South,Female,25 to 39,2
2018-03-31,2018,1,Inadequately documented air arrivals,Sri Lanka,Asia South,Male,18 to 24,11
2018-03-31,2018,1,Inadequately documented air arrivals,Sri Lanka,Asia South,Male,25 to 39,14
2018-03-31,2018,1,Inadequately documented air arrivals,Sri Lanka,Asia South,Male,40 and over,2
2018-03-31,2018,1,Inadequately documented air arrivals,Stateless,Other,Female,17 and under,2
2018-03-31,2018,1,Inadequately documented air arrivals,Stateless,Other,Female,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Stateless,Other,Female,25 to 39,3
2018-03-31,2018,1,Inadequately documented air arrivals,Stateless,Other,Female,40 and over,2
2018-03-31,2018,1,Inadequately documented air arrivals,Stateless,Other,Male,17 and under,4
2018-03-31,2018,1,Inadequately documented air arrivals,Stateless,Other,Male,18 to 24,2
2018-03-31,2018,1,Inadequately documented air arrivals,Stateless,Other,Male,25 to 39,8
2018-03-31,2018,1,Inadequately documented air arrivals,Stateless,Other,Male,40 and over,6
2018-03-31,2018,1,Inadequately documented air arrivals,Sudan,Africa North,Female,17 and under,2
2018-03-31,2018,1,Inadequately documented air arrivals,Sudan,Africa North,Female,18 to 24,2
2018-03-31,2018,1,Inadequately documented air arrivals,Sudan,Africa North,Female,25 to 39,2
2018-03-31,2018,1,Inadequately documented air arrivals,Sudan,Africa North,Male,17 and under,9
2018-03-31,2018,1,Inadequately documented air arrivals,Sudan,Africa North,Male,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Sudan,Africa North,Male,25 to 39,3
2018-03-31,2018,1,Inadequately documented air arrivals,Sudan,Africa North,Male,40 and over,2
2018-03-31,2018,1,Inadequately documented air arrivals,Syria,Middle East,Female,17 and under,1
2018-03-31,2018,1,Inadequately documented air arrivals,Syria,Middle East,Female,18 to 24,2
2018-03-31,2018,1,Inadequately documented air arrivals,Syria,Middle East,Female,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Syria,Middle East,Female,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,Syria,Middle East,Male,17 and under,1
2018-03-31,2018,1,Inadequately documented air arrivals,Syria,Middle East,Male,18 to 24,3
2018-03-31,2018,1,Inadequately documented air arrivals,Syria,Middle East,Male,25 to 39,5
2018-03-31,2018,1,Inadequately documented air arrivals,Syria,Middle East,Male,40 and over,3
2018-03-31,2018,1,Inadequately documented air arrivals,Taiwan,Asia East,Female,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,Tanzania,Africa Sub-Saharan,Female,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Tanzania,Africa Sub-Saharan,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Tanzania,Africa Sub-Saharan,Unknown,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Turkey,Europe Other,Female,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Turkey,Europe Other,Female,25 to 39,2
2018-03-31,2018,1,Inadequately documented air arrivals,Turkey,Europe Other,Male,17 and under,2
2018-03-31,2018,1,Inadequately documented air arrivals,Turkey,Europe Other,Male,18 to 24,8
2018-03-31,2018,1,Inadequately documented air arrivals,Turkey,Europe Other,Male,25 to 39,9
2018-03-31,2018,1,Inadequately documented air arrivals,Turkey,Europe Other,Male,40 and over,4
2018-03-31,2018,1,Inadequately documented air arrivals,Ukraine,Europe Other,Female,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Ukraine,Europe Other,Male,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,Ukraine,Europe Other,Male,25 to 39,3
2018-03-31,2018,1,Inadequately documented air arrivals,Ukraine,Europe Other,Male,40 and over,2
2018-03-31,2018,1,Inadequately documented air arrivals,United States,America North,Female,18 to 24,1
2018-03-31,2018,1,Inadequately documented air arrivals,United States,America North,Female,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,United States,America North,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Vietnam,Asia South East,Male,40 and over,1
2018-03-31,2018,1,Inadequately documented air arrivals,Yemen,Middle East,Male,40 and over,1
2018-03-31,2018,1,Recorded detections at UK ports,Afghanistan,Asia Central,Male,17 and under,10
2018-03-31,2018,1,Recorded detections at UK ports,Afghanistan,Asia Central,Male,18 to 24,8
2018-03-31,2018,1,Recorded detections at UK ports,Afghanistan,Asia Central,Male,25 to 39,5
2018-03-31,2018,1,Recorded detections at UK ports,Albania,Europe Other,Female,18 to 24,2
2018-03-31,2018,1,Recorded detections at UK ports,Albania,Europe Other,Male,17 and under,3
2018-03-31,2018,1,Recorded detections at UK ports,Albania,Europe Other,Male,18 to 24,47
2018-03-31,2018,1,Recorded detections at UK ports,Albania,Europe Other,Male,25 to 39,24
2018-03-31,2018,1,Recorded detections at UK ports,Albania,Europe Other,Male,40 and over,2
2018-03-31,2018,1,Recorded detections at UK ports,Algeria,Africa North,Male,17 and under,6
2018-03-31,2018,1,Recorded detections at UK ports,Algeria,Africa North,Male,18 to 24,4
2018-03-31,2018,1,Recorded detections at UK ports,Algeria,Africa North,Male,25 to 39,2
2018-03-31,2018,1,Recorded detections at UK ports,Eritrea,Africa Sub-Saharan,Male,17 and under,3
2018-03-31,2018,1,Recorded detections at UK ports,Eritrea,Africa Sub-Saharan,Male,18 to 24,2
2018-03-31,2018,1,Recorded detections at UK ports,Eritrea,Africa Sub-Saharan,Male,25 to 39,1
2018-03-31,2018,1,Recorded detections at UK ports,Ethiopia,Africa Sub-Saharan,Male,25 to 39,2
2018-03-31,2018,1,Recorded detections at UK ports,India,Asia South,Male,18 to 24,1
2018-03-31,2018,1,Recorded detections at UK ports,India,Asia South,Male,25 to 39,1
2018-03-31,2018,1,Recorded detections at UK ports,Iran,Middle East,Male,25 to 39,4
2018-03-31,2018,1,Recorded detections at UK ports,Iran,Middle East,Male,40 and over,1
2018-03-31,2018,1,Recorded detections at UK ports,Iraq,Middle East,Male,17 and under,2
2018-03-31,2018,1,Recorded detections at UK ports,Iraq,Middle East,Male,18 to 24,5
2018-03-31,2018,1,Recorded detections at UK ports,Iraq,Middle East,Male,25 to 39,1
2018-03-31,2018,1,Recorded detections at UK ports,Libya,Africa North,Male,17 and under,4
2018-03-31,2018,1,Recorded detections at UK ports,Libya,Africa North,Male,18 to 24,1
2018-03-31,2018,1,Recorded detections at UK ports,Libya,Africa North,Male,25 to 39,3
2018-03-31,2018,1,Recorded detections at UK ports,Morocco,Africa North,Male,17 and under,1
2018-03-31,2018,1,Recorded detections at UK ports,Morocco,Africa North,Male,18 to 24,4
2018-03-31,2018,1,Recorded detections at UK ports,Occupied Palestinian Territories,Middle East,Male,18 to 24,2
2018-03-31,2018,1,Recorded detections at UK ports,Occupied Palestinian Territories,Middle East,Male,25 to 39,1
2018-03-31,2018,1,Recorded detections at UK ports,Pakistan,Asia South,Male,18 to 24,2
2018-03-31,2018,1,Recorded detections at UK ports,Pakistan,Asia South,Male,25 to 39,3
2018-03-31,2018,1,Recorded detections at UK ports,Sri Lanka,Asia South,Male,25 to 39,2
2018-03-31,2018,1,Recorded detections at UK ports,Sudan,Africa North,Male,17 and under,17
2018-03-31,2018,1,Recorded detections at UK ports,Sudan,Africa North,Male,18 to 24,5
2018-03-31,2018,1,Recorded detections at UK ports,Sudan,Africa North,Male,25 to 39,4
2018-03-31,2018,1,Recorded detections at UK ports,Syria,Middle East,Male,25 to 39,1
2018-03-31,2018,1,Recorded detections at UK ports,Turkey,Europe Other,Male,18 to 24,1
2018-03-31,2018,1,Recorded detections in the UK,Afghanistan,Asia Central,Female,40 and over,1
2018-03-31,2018,1,Recorded detections in the UK,Afghanistan,Asia Central,Male,17 and under,19
2018-03-31,2018,1,Recorded detections in the UK,Afghanistan,Asia Central,Male,18 to 24,24
2018-03-31,2018,1,Recorded detections in the UK,Afghanistan,Asia Central,Male,25 to 39,30
2018-03-31,2018,1,Recorded detections in the UK,Afghanistan,Asia Central,Male,40 and over,2
2018-03-31,2018,1,Recorded detections in the UK,Albania,Europe Other,Female,17 and under,1
2018-03-31,2018,1,Recorded detections in the UK,Albania,Europe Other,Female,18 to 24,1
2018-03-31,2018,1,Recorded detections in the UK,Albania,Europe Other,Female,25 to 39,2
2018-03-31,2018,1,Recorded detections in the UK,Albania,Europe Other,Male,17 and under,5
2018-03-31,2018,1,Recorded detections in the UK,Albania,Europe Other,Male,18 to 24,15
2018-03-31,2018,1,Recorded detections in the UK,Albania,Europe Other,Male,25 to 39,16
2018-03-31,2018,1,Recorded detections in the UK,Albania,Europe Other,Male,40 and over,1
2018-03-31,2018,1,Recorded detections in the UK,Algeria,Africa North,Male,17 and under,1
2018-03-31,2018,1,Recorded detections in the UK,Algeria,Africa North,Male,18 to 24,2
2018-03-31,2018,1,Recorded detections in the UK,Angola,Africa Sub-Saharan,Male,17 and under,1
2018-03-31,2018,1,Recorded detections in the UK,Chad,Africa Sub-Saharan,Male,17 and under,1
2018-03-31,2018,1,Recorded detections in the UK,Chad,Africa Sub-Saharan,Male,18 to 24,1
2018-03-31,2018,1,Recorded detections in the UK,Chad,Africa Sub-Saharan,Male,25 to 39,2
2018-03-31,2018,1,Recorded detections in the UK,Egypt,Africa North,Male,17 and under,2
2018-03-31,2018,1,Recorded detections in the UK,Egypt,Africa North,Male,18 to 24,4
2018-03-31,2018,1,Recorded detections in the UK,Egypt,Africa North,Male,25 to 39,1
2018-03-31,2018,1,Recorded detections in the UK,Eritrea,Africa Sub-Saharan,Female,17 and under,8
2018-03-31,2018,1,Recorded detections in the UK,Eritrea,Africa Sub-Saharan,Female,18 to 24,13
2018-03-31,2018,1,Recorded detections in the UK,Eritrea,Africa Sub-Saharan,Female,25 to 39,8
2018-03-31,2018,1,Recorded detections in the UK,Eritrea,Africa Sub-Saharan,Female,40 and over,2
2018-03-31,2018,1,Recorded detections in the UK,Eritrea,Africa Sub-Saharan,Male,17 and under,50
2018-03-31,2018,1,Recorded detections in the UK,Eritrea,Africa Sub-Saharan,Male,18 to 24,55
2018-03-31,2018,1,Recorded detections in the UK,Eritrea,Africa Sub-Saharan,Male,25 to 39,38
2018-03-31,2018,1,Recorded detections in the UK,Eritrea,Africa Sub-Saharan,Male,40 and over,5
2018-03-31,2018,1,Recorded detections in the UK,Ethiopia,Africa Sub-Saharan,Female,17 and under,3
2018-03-31,2018,1,Recorded detections in the UK,Ethiopia,Africa Sub-Saharan,Female,18 to 24,2
2018-03-31,2018,1,Recorded detections in the UK,Ethiopia,Africa Sub-Saharan,Female,25 to 39,4
2018-03-31,2018,1,Recorded detections in the UK,Ethiopia,Africa Sub-Saharan,Male,17 and under,23
2018-03-31,2018,1,Recorded detections in the UK,Ethiopia,Africa Sub-Saharan,Male,18 to 24,24
2018-03-31,2018,1,Recorded detections in the UK,Ethiopia,Africa Sub-Saharan,Male,25 to 39,19
2018-03-31,2018,1,Recorded detections in the UK,Ethiopia,Africa Sub-Saharan,Male,40 and over,3
2018-03-31,2018,1,Recorded detections in the UK,Guinea,Africa Sub-Saharan,Male,17 and under,1
2018-03-31,2018,1,Recorded detections in the UK,Guinea,Africa Sub-Saharan,Male,18 to 24,1
2018-03-31,2018,1,Recorded detections in the UK,India,Asia South,Male,18 to 24,2
2018-03-31,2018,1,Recorded detections in the UK,India,Asia South,Male,25 to 39,3
2018-03-31,2018,1,Recorded detections in the UK,Iran,Middle East,Female,17 and under,1
2018-03-31,2018,1,Recorded detections in the UK,Iran,Middle East,Female,18 to 24,3
2018-03-31,2018,1,Recorded detections in the UK,Iran,Middle East,Female,25 to 39,14
2018-03-31,2018,1,Recorded detections in the UK,Iran,Middle East,Female,40 and over,5
2018-03-31,2018,1,Recorded detections in the UK,Iran,Middle East,Male,17 and under,24
2018-03-31,2018,1,Recorded detections in the UK,Iran,Middle East,Male,18 to 24,57
2018-03-31,2018,1,Recorded detections in the UK,Iran,Middle East,Male,25 to 39,91
2018-03-31,2018,1,Recorded detections in the UK,Iran,Middle East,Male,40 and over,15
2018-03-31,2018,1,Recorded detections in the UK,Iraq,Middle East,Female,17 and under,37
2018-03-31,2018,1,Recorded detections in the UK,Iraq,Middle East,Female,18 to 24,15
2018-03-31,2018,1,Recorded detections in the UK,Iraq,Middle East,Female,25 to 39,71
2018-03-31,2018,1,Recorded detections in the UK,Iraq,Middle East,Female,40 and over,8
2018-03-31,2018,1,Recorded detections in the UK,Iraq,Middle East,Male,17 and under,112
2018-03-31,2018,1,Recorded detections in the UK,Iraq,Middle East,Male,18 to 24,112
2018-03-31,2018,1,Recorded detections in the UK,Iraq,Middle East,Male,25 to 39,162
2018-03-31,2018,1,Recorded detections in the UK,Iraq,Middle East,Male,40 and over,15
2018-03-31,2018,1,Recorded detections in the UK,Ivory Coast,Africa Sub-Saharan,Male,17 and under,1
2018-03-31,2018,1,Recorded detections in the UK,Kuwait,Middle East,Female,17 and under,1
2018-03-31,2018,1,Recorded detections in the UK,Kuwait,Middle East,Female,25 to 39,1
2018-03-31,2018,1,Recorded detections in the UK,Kuwait,Middle East,Male,17 and under,2
2018-03-31,2018,1,Recorded detections in the UK,Kuwait,Middle East,Male,40 and over,1
2018-03-31,2018,1,Recorded detections in the UK,Kyrgyzstan,Asia Central,Male,17 and under,1
2018-03-31,2018,1,Recorded detections in the UK,Liberia,Africa Sub-Saharan,Male,40 and over,1
2018-03-31,2018,1,Recorded detections in the UK,Libya,Africa North,Male,17 and under,4
2018-03-31,2018,1,Recorded detections in the UK,Libya,Africa North,Male,25 to 39,1
2018-03-31,2018,1,Recorded detections in the UK,Morocco,Africa North,Female,25 to 39,1
2018-03-31,2018,1,Recorded detections in the UK,Morocco,Africa North,Male,17 and under,1
2018-03-31,2018,1,Recorded detections in the UK,Morocco,Africa North,Male,25 to 39,1
2018-03-31,2018,1,Recorded detections in the UK,Occupied Palestinian Territories,Middle East,Male,25 to 39,1
2018-03-31,2018,1,Recorded detections in the UK,Other and unknown,Other,Male,17 and under,1
2018-03-31,2018,1,Recorded detections in the UK,Other and unknown,Other,Unknown,40 and over,1
2018-03-31,2018,1,Recorded detections in the UK,Pakistan,Asia South,Male,17 and under,1
2018-03-31,2018,1,Recorded detections in the UK,Pakistan,Asia South,Male,18 to 24,4
2018-03-31,2018,1,Recorded detections in the UK,Pakistan,Asia South,Male,25 to 39,5
2018-03-31,2018,1,Recorded detections in the UK,Pakistan,Asia South,Male,40 and over,1
