Date,Year,Quarter,Section 4,Section 95
2010-03-31,2010,1,3426,2964
2010-06-30,2010,2,3743,2888
2010-09-30,2010,3,3955,2876
2010-09-30,2010,3,2768,2753
2011-03-31,2011,1,2412,3096
2011-06-30,2011,2,1808,2799
2011-09-30,2011,3,1697,2878
2011-12-31,2011,4,1593,2826
2012-03-31,2012,1,1637,3002
2012-06-30,2012,2,1594,2637
2012-09-30,2012,3,1916,2890
2012-12-31,2012,4,1894,3235
2013-03-31,2013,1,1849,3104
2013-06-30,2013,2,1944,3124
2013-09-30,2013,3,1887,3287
2013-12-31,2013,4,1803,3551
2014-03-31,2014,1,1869,3466
2014-06-30,2014,2,1729,3617
2014-09-30,2014,3,1739,4186
2014-12-31,2014,4,1656,5035
2015-03-31,2015,1,1724,3891
2015-06-30,2015,2,1841,4001
2015-09-30,2015,3,1692,7076
2015-12-31,2015,4,1559,6989
2016-03-31,2016,1,1298,5066
2016-06-30,2016,2,1522,5159
2016-09-30,2016,3,1543,4309
2016-12-31,2016,4,1637,4133
2017-03-31,2017,1,1538,3884
2017-06-30,2017,2,1624,3773
2017-09-30,2017,3,1762,3951
2017-12-31,2017,4,1807,4213
2018-03-31,2018,1,214,1032
2018-06-30,2018,2,788,4071
2018-09-30,2018,3,695,4367
2018-12-31,2018,4,722,4776
2019-03-31,2019,1,774,4760
2019-06-30,2019,2,779,4604
2019-09-30,2019,3,883,4611
2019-12-31,2019,4,1125,5865
2020-03-31,2020,1,1138,5482
2020-06-30,2020,2,2362,4082
2020-09-30,2020,3,1238,5828
2020-12-31,2020,4,790,5426
2021-03-31,2021,1,912,3902
2021-06-30,2021,2,619,4919
2021-09-30,2021,3,661,9491
2021-12-31,2021,4,750,9343
2022-03-31,2022,1,683,9717
2022-06-30,2022,2,596,8747
2022-09-30,2022,3,563,8165
2022-12-31,2022,4,422,7675
2023-03-31,2023,1,612,11859
2023-06-30,2023,2,766,9310
