Nationality,Total
Afghan,17
Afghan Italian,1
Albanian,105
Albanian Italian,1
Albanian Moldovan,1
Albanian UK,1
Albanian Unknown,1
Algerian,1
Bangladeshi,8
Barbadian,2
Belarusian Russian,1
Botswanan,1
Brazilian,26
Brazilian Portuguese,1
Bulgarian,5
Bulgarian UK,1
Burmese,1
Cameroonian,1
Central African,2
Chadian,8
Chinese,123
Chinese UK,1
Citizen of Seychelles,1
Colombian,3
Congolese (Congo),1
Congolese (Drc),3
Cuban,1
Cypriot,1
Czech,3
Dutch,1
Dutch UK,1
Egyptian,12
Eritrean,73
Ethiopian,6
Filipino,17
Finnish Iraqi,1
Gambian,2
Georgian,5
Ghanaian,6
Grenadian,2
Guinean,3
Hong Konger,1
Hungarian,2
Indian,24
Iranian,17
Iraqi,38
Irish,1
Ivorian,1
Kenyan,2
Kosovan,1
Kuwaiti,7
Kyrgyz,2
Latvian,1
Latvian Unknown,1
Lebanese,1
Libyan,2
Lithuanian,2
Malaysian,6
Malian,2
Montserratian,1
Moroccan,6
Namibian,5
Nepalese,3
Nigerian,9
Nigerien,1
North Korean,1
Pakistani,13
Pakistani UK,2
Palestinian,1
Peruvian,1
Polish,8
Portuguese,1
Romanian,52
Russian,2
Saudi Arabian,2
Sierra Leonean,4
Slovak,1
Somali,14
South African,1
South Sudanese,6
Spanish,1
Sri Lankan,6
St Lucian,1
Sudanese,73
Sudanese South Sudanese,1
Syrian,17
Tajik,1
Tanzanian,1
Thai,24
Tunisian,2
Turkish,3
Ugandan,3
UK,102
Unknown,30
Unknown UK,1
Vietnamese,78
Yemeni,2
Zimbabwean,2
Total,1044
