Year of application,Geographical region,Nationality,Applications,Initial decisions,Granted asylum,Granted HP/DL,Other grants,Refused,Applications withdrawn,Initial decisions not yet known,Appeals lodged,Allowed appeals,Dismissed appeals,Withdrawn appeals,Appeal outcome not yet known,Enforced returns,Voluntary returns,Assisted returns (Subset of Voluntary returns),Controlled returns (Subset of Voluntary returns),Other verified returns (Subset of Voluntary returns),Final outcome: Grants of asylum,Final outcomes: Grants of HP/DL and other,Final outcomes: Refused asylum or HP or DL or other leave,Final outcome: Withdrawn application,Final outcome: Cases with final outcome not yet known
2008,America Central and South,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Asia East,China,1364,886,63,69,1,753,456,22,464,77,360,14,13,253,124,62,32,30,120,85,671,454,34
2008,Oceania,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Oceania,Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,America Central and South,Colombia,25,18,2,0,0,16,7,0,11,1,10,0,0,11,2,1,0,1,2,1,15,7,0
2008,Africa Sub-Saharan,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Africa Sub-Saharan,Congo,19,15,0,3,0,12,1,3,11,3,7,0,1,5,1,0,0,1,2,4,9,1,3
2008,Africa Sub-Saharan,Congo (Democratic Republic),326,313,50,33,1,229,10,3,211,53,142,8,8,21,6,3,0,3,99,35,171,10,11
2008,Oceania,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,America Central and South,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,EU Other,Croatia,4,2,0,0,0,2,2,0,1,1,0,0,0,1,2,2,0,0,1,0,1,2,0
2008,America Central and South,Cuba,4,4,1,0,0,3,0,0,2,0,1,1,0,1,0,0,0,0,1,0,3,0,0
2008,America Central and South,Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,EU Other,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Europe Other,Cyprus (Northern part of),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,EU 8,Czech Republic,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2008,EU 14,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Africa Sub-Saharan,Djibouti,4,4,0,0,0,4,0,0,4,0,4,0,0,0,1,1,0,0,0,0,4,0,0
