Nationality,Total
Afghan,10
Albanian,200
Albanian Italian,1
Algerian,2
American,2
Argentine,1
Australian UK,1
Azerbaijani,1
Bangladeshi,12
Bangladeshi UK,1
Botswanan,2
Brazilian,5
Bulgarian,8
Cameroonian,1
Cape Verdean Filipino,1
Central African,1
Central African Sudanese,1
Chadian,2
Chinese,94
Congolese (DRC),1
Czech,1
East Timorese,5
Ecuadorean,1
Egyptian,8
Eritrean,201
Eritrean Ethiopian,6
Eritrean Libyan,1
Eritrean Sudanese,1
Eritrean UK,1
Eritrean Unknown,1
Ethiopian,36
Ethiopian Sudanese,1
Filipino,5
French,1
Gambian,2
Ghanaian,5
Ghanaian UK,1
Greek,3
Grenadian,1
Guinean,1
Honduran,1
Hong Konger,1
Hungarian,10
Hungarian Romanian,1
Indian,5
Indian Sri Lankan,1
Iranian,23
Iranian Iraqi,1
Iraqi,8
Iraqi Iranian,1
Italian,1
Jamaican UK,2
Kenyan,2
Kosovan,1
Kuwaiti,2
Latvian,3
Libyan,2
Libyan Sudanese,1
Lithuanian,1
Macedonian,1
Malaysian,3
Maldivian,1
Malian,1
Mauritian,3
Mexican,2
Namibian,6
Nepalese,3
Nigerian,9
Not Known,2
Pakistani,8
Palestinian,2
Polish,6
Portuguese,1
Portuguese UK,1
Romanian,73
Romanian UK,2
Salvadorean,1
Sierra Leonean,2
Slovak,1
Somali,2
Somali UK,1
South African,3
South African Zimbabwean,1
South Korean,1
South Sudanese,4
Sudanese,117
Syrian,31
Thai,7
Turkish,1
Ugandan,1
UK,107
Ukrainian,4
Unknown,14
Unknown UK,1
Uzbek,1
Venezuelan,1
Vietnamese,34
Yemeni,5
Total,1160
