Nationality,Total
Afghan,2
Albanian,204
Albanian Greek,1
Albanian Italian,1
Albanian UK,1
Algerian,2
Angolan,1
Bangladeshi,7
Brazilian,18
British Virgin Islander,1
Bulgarian,8
Burkinan,1
Cameroonian,1
Chadian,3
Chinese,51
Chinese UK,1
Congolese (DRC),1
Czech,5
East Timorese,3
Egyptian,10
Eritrean,265
Eritrean Ethiopian,1
Ethiopian,29
Filipino,2
French UK,1
Gambian,4
Georgian,1
German Romanian,1
Ghanaian,5
Greek,2
Honduran,1
Hungarian,13
Indian,11
Indian Portuguese,1
Indian UK,1
Iranian,24
Iraqi,15
Iraqi UK,1
Irish,1
Japanese,1
Kenyan,4
Kosovan,3
Kuwaiti,5
Latvian,1
Lebanese,1
Lithuanian,5
Lithuanian Polish,1
Malaysian,5
Malian,1
Mexican,2
Mongolian,1
Namibian,2
Nepalese,1
Nigerian,11
Not Known,3
Pakistani,1
Polish,7
Portuguese,1
Portuguese Romanian,1
Qatari,1
Romanian,82
Romanian Spanish,1
Romanian Unknown,1
Russian,3
Salvadorean,3
Saudi Arabian,1
Sierra Leonean,1
Slovak Slovenian,1
Somali,4
South Korean,2
South Sudanese,3
Spanish,1
Sri Lankan,4
St Lucian,1
Sudanese,83
Sudanese South Sudanese,1
Sudanese Unknown,1
Syrian,21
Tanzanian,1
Thai,8
Trinidadian,1
Turkish,1
Ugandan,2
UK,87
UK Zimbabwean,1
Ukrainian,4
Unknown,10
Vietnamese,35
Yemeni,2
Total,1125
